"id"	"gender"	"gname"	"fname"	"postcode"	"age"	"occup"
"391"	"f"	"sian"	"ryan"	2905	"d"	2
"392"	"m"	"harry"	"byers"	2602	"s"	4
"393"	"f"	"bianca"	"nguyen"	2904	"f"	3
"394"	"m"	"nathan"	"grubb"	2617	"d"	3
"395"	"m"	"nicolas"	"campbell"	2602	"g"	2
"396"	"f"	"liana"	"paterson"	2903	"j"	2
"397"	"m"	"cooper"	"lowe"	2606	"g"	1
"398"	"m"	"sam"	"rajapapirana"	2615	"s"	3
"399"	"f"	"sarah"	"kaminskas"	2615	"d"	2
"400"	"m"	"bailey"	"clarke"	2617	"g"	2
"401"	"f"	"angelica"	"bullock"	2611	"f"	2
"402"	"f"	"talia"	"fitzpatrick"	2611	"f"	3
"403"	"m"	"noah"	"andricic"	2615	"d"	3
"404"	"f"	"jessica"	"kerkham"	2913	"f"	8
"405"	"f"	"emma"	"dreckow"	2902	"d"	4
"406"	"f"	"jenna"	"muallem"	2905	"f"	2
"407"	"f"	"chloe"	"hilton"	2903	"d"	4
"408"	"m"	"thomas"	"pernini"	2617	"d"	2
"409"	"m"	"liam"	"corrie"	2906	"f"	5
"410"	"f"	"taylah"	"defrancesco"	2903	"d"	5
"411"	"m"	"benjamin"	"everett"	2607	"k"	8
"412"	"m"	"mitchell"	"iacopetta"	2904	"d"	3
"413"	"f"	"alia"	"leaver"	2603	"k"	1
"414"	"f"	"grace"	"miles"	2611	"h"	4
"415"	"m"	"brandon"	"manskey"	2617	"f"	3
"416"	"m"	"luke"	"boss"	2615	"f"	3
"417"	"m"	"gianni"	"letford"	2605	"d"	2
"418"	"f"	"kimberley"	"spiota"	2614	"g"	2
"419"	"m"	"peter"	"wiseman"	2904	"d"	4
"420"	"m"	"luke"	"webb"	2615	"g"	2
"421"	"f"	"meg"	"katnich"	2617	"k"	1
"422"	"m"	"blake"	"hyland"	2906	"d"	5
"423"	"f"	"ebony"	"butt"	2617	"k"	1
"424"	"f"	"heather"	"menzies"	2602	"a"	8
"425"	"f"	"kirrah"	"nelsen"	2905	"f"	3
"426"	"f"	"danielle"	"jolly"	2604	"f"	1
"427"	"m"	"mitchell"	"widdowson"	2607	"g"	8
"428"	"f"	"sarah"	"snell"	2611	"h"	6
"429"	"m"	"harvey"	"edis"	2605	"d"	8
"430"	"m"	"connor"	"hick"	2905	"k"	1
"431"	"f"	"takara"	"akot"	2905	"f"	2
"432"	"f"	"kathleen"	"white"	2602	"j"	1
"433"	"f"	"charlotte"	"hindmarch"	2913	"h"	3
"434"	"m"	"lucas"	"ngai"	2604	"f"	5
"435"	"m"	"connor"	"miels"	2611	"d"	8
"436"	"m"	"kyle"	"psaras"	2904	"h"	6
"437"	"f"	"isabella"	"klisch"	2602	"s"	1
"438"	"m"	"oliver"	"girdler"	2604	"j"	8
"439"	"f"	"olivia"	"kidner"	2904	"f"	7
"440"	"f"	"elysse"	"dixon"	2602	"d"	5
"441"	"m"	"joel"	"kowald"	2607	"g"	2
"442"	"f"	"georgia"	"stanley"	2602	"g"	5
"443"	"m"	"aidyn"	"white"	2905	"f"	1
"444"	"m"	"jacob"	"doman"	2607	"d"	1
"445"	"m"	"jayden"	"white"	2615	"f"	2
"446"	"f"	"rosie"	"green"	2614	"g"	1
"447"	"f"	"jacqueline"	"ilgen"	2602	"g"	4
"448"	"m"	"dylan"	"parken"	2905	"h"	4
"449"	"f"	"mia"	"leane"	2913	"d"	2
"450"	"f"	"georgia"	"menzies"	2905	"g"	4
"451"	"f"	"jinni"	"humphreys"	2602	"f"	3
"452"	"m"	"connor"	"southwood"	2601	"s"	1
"453"	"f"	"emma"	"gornicki"	2615	"d"	8
"454"	"m"	"spencer"	"kelley"	2906	"s"	6
"455"	"m"	"jack"	"rees"	2905	"d"	6
"456"	"m"	"liam"	"clarke"	2617	"f"	6
"457"	"f"	"charlee"	"mayer"	2611	"g"	4
"458"	"f"	"tara"	"white"	2905	"a"	8
"459"	"f"	"ruby"	"pazniewski"	2903	"f"	4
"460"	"m"	"stirling"	"harrington"	2614	"f"	5
"461"	"f"	"prudence"	"robson"	2913	"g"	5
"462"	"m"	"oscar"	"wooley"	2905	"j"	3
"463"	"m"	"joel"	"pennell"	2913	"h"	3
"464"	"f"	"kaitlyn"	"hodby"	2614	"d"	5
"465"	"f"	"angie"	"priest"	2604	"f"	8
"466"	"f"	"morgan"	"morrison"	2904	"g"	1
"467"	"m"	"riley"	"green"	2617	"a"	8
"468"	"f"	"emiily"	"pulford"	2614	"j"	5
"469"	"m"	"thomas"	"mccarthy"	2604	"h"	6
"470"	"m"	"joshua"	"mearns"	2617	"g"	4
"471"	"m"	"sachin"	"runis"	2603	"g"	3
"472"	"f"	"chelsea"	"white"	2611	"g"	3
"473"	"f"	"tia"	"millar"	2600	"s"	6
"474"	"f"	"mhary"	"girdler"	2905	"d"	3
"475"	"m"	"jack"	"green"	2611	"d"	3
"476"	"m"	"hugo"	"mason"	2617	"s"	3
"477"	"m"	"nicholas"	"ayres"	2617	"d"	7
"478"	"f"	"sienna"	"paterson"	2602	"d"	2
"479"	"f"	"erin"	"herbert"	2614	"a"	4
"480"	"f"	"isabella"	"ryan"	2602	"d"	5
"481"	"f"	"tayla"	"maynard"	2607	"h"	8
"482"	"f"	"sophie"	"pinto"	2604	"d"	2
